district,neighborhood,property_type,gross_sqm,net_sqm,room_count,living_room_count,floor,total_floors,building_age,bathroom_count,has_balcony,parking_type,has_elevator,heating_type,lat,lon,earthquake_risk_score,transport_score,socioeconomic_level,price
Cankaya,Oran,Daire,149,123,4,1,4,7,34,2,1,1,1,Merkezi,39.8799,32.8721,1,9,5,7313310
Cankaya,Kizilirmak,Daire,72,59,2,1,2,7,31,1,1,0,1,Yerden_Isitma,39.8706,32.8549,1,9,5,3173426
Cankaya,Bahcelievler,Daire,201,165,6,2,5,6,34,2,1,2,1,Merkezi,39.8561,32.8623,1,9,5,11641048
Cankaya,Oran,Mustakil,292,234,5,2,1,1,6,3,1,0,0,Merkezi,39.8732,32.8525,1,9,5,23816237
Cankaya,Kizilirmak,Daire,117,91,3,1,3,17,26,1,1,2,1,Merkezi,39.8566,32.8597,1,9,5,6199740
Cankaya,Oran,Daire,70,64,1,1,2,7,15,1,1,2,1,Dogalgaz_Kombi,39.8682,32.8717,1,9,5,5177834
Cankaya,Oran,Mustakil,278,220,5,1,1,1,27,2,1,2,0,Dogalgaz_Kombi,39.8654,32.8614,1,9,5,16801090
Cankaya,Cukurambar,Villa,141,113,3,1,1,2,22,1,1,2,0,Dogalgaz_Kombi,39.8766,32.873,1,9,5,11932943
Cankaya,Oran,Daire,61,48,1,1,1,4,32,1,1,2,1,Merkezi,39.8818,32.861,1,9,5,2846685
Cankaya,Cukurambar,Daire,129,105,4,1,6,7,22,1,1,1,1,Dogalgaz_Kombi,39.8646,32.8535,1,9,5,6907127
Cankaya,Gaziosmanpasa,Daire,134,109,3,1,1,11,17,2,1,2,1,Dogalgaz_Kat,39.8744,32.8479,1,9,5,7409527
Cankaya,Oran,Daire,130,104,3,1,10,18,30,2,1,2,1,Merkezi,39.8716,32.8653,1,9,5,7431980
Cankaya,Cukurambar,Daire,74,64,2,1,1,4,35,1,1,2,1,Dogalgaz_Kombi,39.8716,32.8655,1,9,5,3973340
Cankaya,Kizilirmak,Daire,119,99,3,1,3,6,29,2,1,1,1,Dogalgaz_Kombi,39.8642,32.8671,1,9,5,6729324
Cankaya,Bahcelievler,Daire,78,63,2,1,6,18,26,1,1,1,1,Dogalgaz_Kombi,39.8818,32.8527,1,9,5,3815622
Cankaya,Bahcelievler,Daire,97,85,2,1,5,10,30,1,1,1,1,Soba,39.8785,32.8591,1,9,5,4897751
Cankaya,Bahcelievler,Mustakil,156,125,4,1,3,3,17,1,1,1,1,Merkezi,39.8536,32.8651,1,9,5,10766500
Cankaya,Kizilirmak,Daire,78,65,2,1,6,6,32,1,1,0,1,Dogalgaz_Kombi,39.8632,32.8449,1,9,5,4646758
Cankaya,Bahcelievler,Mustakil,271,219,5,2,1,1,19,2,0,2,0,Dogalgaz_Kombi,39.8812,32.862,1,9,5,16853267
Cankaya,Kizilirmak,Villa,147,120,3,1,1,2,8,2,1,0,0,Dogalgaz_Kombi,39.868,32.8608,1,9,5,14188227
Cankaya,Oran,Daire,111,93,3,1,8,10,28,2,1,1,1,Dogalgaz_Kombi,39.8587,32.8696,1,9,5,5518912
Cankaya,Bahcelievler,Daire,66,57,2,1,12,12,35,1,1,1,1,Dogalgaz_Kat,39.8606,32.8546,1,9,5,3609379
Cankaya,Oran,Daire,159,138,5,2,2,17,17,2,1,0,1,Dogalgaz_Kombi,39.883,32.8543,1,9,5,11002779
Cankaya,Oran,Daire,92,78,2,1,3,18,15,1,1,0,1,Dogalgaz_Kombi,39.8623,32.8543,1,9,5,5402017
Cankaya,Oran,Daire,109,96,3,1,2,14,26,1,1,0,1,Dogalgaz_Kombi,39.8668,32.8713,1,9,5,6281304
Cankaya,Gaziosmanpasa,Daire,71,59,2,1,16,17,20,1,1,1,1,Merkezi,39.8564,32.853,1,9,5,4371984
Cankaya,Bahcelievler,Villa,200,175,3,1,3,3,8,2,1,2,0,Merkezi,39.8584,32.8493,1,9,5,18642232
Cankaya,Oran,Daire,98,84,2,1,14,18,33,1,0,2,1,Dogalgaz_Kombi,39.875,32.8439,1,9,5,6743764
Cankaya,Bahcelievler,Mustakil,213,192,5,2,1,1,35,3,1,2,0,Dogalgaz_Kombi,39.8613,32.8488,1,9,5,13600770
Cankaya,Kizilirmak,Daire,50,39,1,1,9,13,34,1,0,2,1,Yerden_Isitma,39.8718,32.8638,1,9,5,2831472
Cankaya,Gaziosmanpasa,Daire,94,83,3,1,3,8,30,2,1,0,1,Merkezi,39.8711,32.8643,1,9,5,6049921
Cankaya,Cukurambar,IsYeri,48,43,1,0,2,8,26,1,1,1,1,Dogalgaz_Kombi,39.8802,32.8537,1,9,5,3308970
Cankaya,Kizilirmak,Villa,216,168,3,1,2,3,16,1,1,1,1,Dogalgaz_Kombi,39.8602,32.8508,1,9,5,15591657
Cankaya,Gaziosmanpasa,Mustakil,169,148,3,1,1,1,6,1,1,0,0,Dogalgaz_Kombi,39.8708,32.8448,1,9,5,13739591
Cankaya,Gaziosmanpasa,IsYeri,45,37,1,1,1,4,21,1,0,0,1,Dogalgaz_Kat,39.8776,32.8461,1,9,5,2741244
Cankaya,Kizilirmak,Daire,66,55,2,1,6,11,30,1,1,2,1,Soba,39.873,32.8722,1,9,5,3305308
Cankaya,Kizilirmak,IsYeri,61,52,2,1,0,10,24,1,1,1,0,Dogalgaz_Kombi,39.8592,32.8573,1,9,5,4202545
Cankaya,Cukurambar,Daire,158,134,4,1,3,6,20,1,1,2,1,Dogalgaz_Kombi,39.8677,32.8489,1,9,5,9987379
Cankaya,Gaziosmanpasa,Daire,173,136,4,1,3,4,32,2,1,2,0,Dogalgaz_Kombi,39.8752,32.8696,1,9,5,8812819
Cankaya,Bahcelievler,Daire,128,106,3,1,5,14,26,1,1,2,1,Merkezi,39.8831,32.8484,1,9,5,6429820
Cankaya,Cukurambar,Daire,54,49,1,1,9,9,16,1,1,0,1,Yerden_Isitma,39.8807,32.8568,1,9,5,3458690
Cankaya,Bahcelievler,Daire,95,86,3,1,5,9,23,2,1,0,1,Dogalgaz_Kombi,39.8533,32.8525,1,9,5,5232753
Cankaya,Cukurambar,IsYeri,70,60,3,1,2,13,23,2,1,2,1,Dogalgaz_Kombi,39.8635,32.8618,1,9,5,5328509
Cankaya,Gaziosmanpasa,Daire,86,67,2,1,4,6,15,1,1,0,1,Dogalgaz_Kombi,39.8751,32.8618,1,9,5,4277219
Cankaya,Bahcelievler,Daire,117,93,3,1,1,7,29,2,1,2,1,Dogalgaz_Kombi,39.8711,32.866,1,9,5,6433305
Cankaya,Bahcelievler,Villa,274,228,4,1,1,2,7,1,1,0,0,Dogalgaz_Kat,39.8711,32.8573,1,9,5,25798564
Cankaya,Cukurambar,IsYeri,108,95,5,2,2,6,3,3,0,0,1,Dogalgaz_Kombi,39.8819,32.8518,1,9,5,9446995
Cankaya,Bahcelievler,Villa,300,238,4,1,1,3,18,1,1,0,1,Merkezi,39.8683,32.8649,1,9,5,20619415
Cankaya,Gaziosmanpasa,Daire,128,117,3,1,3,13,22,2,1,2,1,Dogalgaz_Kombi,39.8536,32.8475,1,9,5,8281970
Cankaya,Gaziosmanpasa,Daire,168,151,4,1,14,17,24,1,1,2,1,Dogalgaz_Kombi,39.8706,32.8704,1,9,5,10254145
Cankaya,Oran,Daire,87,75,2,1,4,11,17,1,1,2,1,Dogalgaz_Kombi,39.8776,32.8649,1,9,5,6409646
Cankaya,Bahcelievler,Daire,140,128,3,1,6,9,15,1,0,0,1,Merkezi,39.8812,32.8688,1,9,5,9792060
Cankaya,Kizilirmak,Daire,50,43,1,0,7,7,15,1,1,1,1,Yerden_Isitma,39.8549,32.8642,1,9,5,3061315
Cankaya,Cukurambar,Daire,99,77,3,1,4,7,20,1,1,1,1,Dogalgaz_Kombi,39.8773,32.8684,1,9,5,4682046
Cankaya,Oran,Daire,83,72,2,1,9,13,32,1,1,0,1,Soba,39.8613,32.8686,1,9,5,4930994
Cankaya,Gaziosmanpasa,Daire,105,87,3,1,7,7,26,2,1,1,1,Klima,39.8743,32.8715,1,9,5,5619377
Cankaya,Kizilirmak,Daire,142,111,4,1,10,18,26,1,1,1,0,Merkezi,39.8543,32.8599,1,9,5,7259721
Cankaya,Gaziosmanpasa,Villa,316,248,4,1,3,3,9,1,1,1,0,Klima,39.8634,32.8682,1,9,5,22345520
Cankaya,Kizilirmak,Daire,72,62,2,1,5,5,20,1,1,1,1,Dogalgaz_Kombi,39.871,32.8458,1,9,5,4191442
Cankaya,Gaziosmanpasa,Mustakil,112,94,3,1,1,3,14,1,1,1,1,Dogalgaz_Kombi,39.8763,32.8642,1,9,5,8065985
Cankaya,Oran,Daire,130,112,3,1,3,12,25,2,1,0,1,Dogalgaz_Kombi,39.8739,32.8479,1,9,5,6729029
Cankaya,Bahcelievler,Daire,122,100,3,1,2,17,18,1,1,2,1,Dogalgaz_Kombi,39.8755,32.857,1,9,5,6346407
Cankaya,Oran,Daire,113,95,3,1,6,8,22,1,1,1,1,Merkezi,39.8681,32.862,1,9,5,6698212
Cankaya,Kizilirmak,Daire,124,105,3,1,1,4,24,2,1,0,1,Dogalgaz_Kombi,39.8781,32.8585,1,9,5,7459696
Cankaya,Oran,Daire,177,149,4,1,11,19,29,2,1,0,1,Dogalgaz_Kat,39.8655,32.87,1,9,5,11712936
Cankaya,Kizilirmak,Daire,179,141,4,1,1,8,29,2,0,1,0,Dogalgaz_Kombi,39.8804,32.848,1,9,5,7865166
Cankaya,Cukurambar,Daire,168,136,4,1,11,14,27,1,0,1,1,Merkezi,39.8733,32.8659,1,9,5,8940950
Cankaya,Oran,Daire,91,72,3,1,11,18,21,1,0,0,1,Dogalgaz_Kombi,39.8626,32.8619,1,9,5,5056946
Cankaya,Bahcelievler,Daire,125,105,3,1,6,9,25,2,1,2,1,Dogalgaz_Kat,39.8539,32.8572,1,9,5,7552582
Cankaya,Gaziosmanpasa,Daire,119,109,3,1,11,17,26,2,1,2,0,Merkezi,39.8778,32.8693,1,9,5,6838508
Cankaya,Gaziosmanpasa,Daire,142,115,4,1,4,4,26,1,1,0,1,Soba,39.865,32.8626,1,9,5,6912205
Cankaya,Bahcelievler,Daire,114,101,3,1,2,5,18,1,1,1,1,Dogalgaz_Kombi,39.8723,32.8685,1,9,5,7888525
Cankaya,Bahcelievler,Daire,75,60,2,1,8,8,32,1,1,0,1,Merkezi,39.8727,32.8593,1,9,5,4464270
Cankaya,Oran,Daire,113,89,3,1,6,8,17,1,1,0,1,Yerden_Isitma,39.881,32.8596,1,9,5,5845453
Cankaya,Cukurambar,IsYeri,92,74,3,1,0,9,6,2,1,1,0,Merkezi,39.8623,32.8574,1,9,5,6667934
Cankaya,Bahcelievler,IsYeri,98,81,4,1,0,7,27,2,1,0,1,Merkezi,39.8684,32.8609,1,9,5,5647911
Cankaya,Gaziosmanpasa,Daire,68,60,2,1,4,5,29,1,0,0,1,Dogalgaz_Kat,39.879,32.8504,1,9,5,3989850
Cankaya,Kizilirmak,Daire,140,112,3,1,3,9,16,2,1,0,1,Dogalgaz_Kombi,39.8733,32.8703,1,9,5,8237263
Cankaya,Oran,Mustakil,187,147,3,1,2,3,33,1,1,2,0,Dogalgaz_Kombi,39.8539,32.8465,1,9,5,11867863
Cankaya,Oran,Daire,93,77,2,1,12,19,18,1,1,0,1,Dogalgaz_Kombi,39.8598,32.8571,1,9,5,6345765
Cankaya,Oran,Daire,123,98,3,1,7,14,23,2,1,0,1,Merkezi,39.8713,32.8637,1,9,5,7787303
Cankaya,Gaziosmanpasa,Daire,133,115,3,1,16,16,34,2,1,0,1,Merkezi,39.8627,32.871,1,9,5,9053925
Kecioren,Kalaba,Villa,290,265,4,1,2,3,8,2,1,0,0,Merkezi,39.9811,32.8583,1,7,3,14033654
Kecioren,Ovacik,Villa,277,217,5,2,2,2,18,2,1,2,0,Dogalgaz_Kombi,40.0006,32.8603,1,7,3,11416164
Kecioren,Etlik,Daire,53,44,1,1,5,13,30,1,1,1,1,Dogalgaz_Kombi,39.9828,32.8541,1,7,3,1292652
Kecioren,Kalaba,Villa,300,257,5,2,1,2,15,3,1,0,0,Merkezi,39.9898,32.8528,1,7,3,11247775
Kecioren,Kanuni,Daire,150,127,4,1,8,16,32,2,1,2,1,Dogalgaz_Kombi,39.9801,32.8537,1,7,3,3998675
Kecioren,Kalaba,Daire,195,177,5,1,13,15,15,3,1,0,1,Merkezi,39.9892,32.8527,1,7,3,5970800
Kecioren,Kalaba,Daire,102,91,3,1,8,19,27,1,0,1,1,Merkezi,39.9786,32.8523,1,7,3,3311820
Kecioren,Kusgolu,Villa,257,202,4,1,1,2,2,1,1,2,0,Soba,39.9848,32.8769,1,7,3,11581032
Kecioren,Kusgolu,IsYeri,46,39,1,0,0,4,0,1,1,2,1,Dogalgaz_Kombi,39.9901,32.8587,1,7,3,2036205
Kecioren,Kusgolu,Daire,84,72,2,1,6,19,18,1,1,2,1,Merkezi,39.9971,32.8739,1,7,3,2659556
Kecioren,Etlik,Daire,179,150,4,1,2,16,16,2,1,2,1,Soba,39.9963,32.8555,1,7,3,6095079
Kecioren,Kanuni,IsYeri,86,78,3,1,0,7,14,2,1,2,1,Dogalgaz_Kombi,39.9887,32.8785,1,7,3,2928993
