district,neighborhood,property_type,gross_sqm,net_sqm,room_count,living_room_count,floor,total_floors,building_age,bathroom_count,has_balcony,parking_type,has_elevator,heating_type,lat,lon,earthquake_risk_score,transport_score,socioeconomic_level,price
Kadikoy,Bostanci,Daire,135,109,4,1,6,7,34,1,1,0,0,Dogalgaz_Kombi,40.9785,29.014,3,9,5,10301660
Kadikoy,Caferaga,Daire,82,73,2,1,2,4,30,1,1,0,1,Dogalgaz_Kombi,40.9891,29.0188,3,9,5,6505536
Kadikoy,Moda,Daire,59,50,1,1,3,16,34,1,1,1,1,Dogalgaz_Kombi,40.9988,29.0094,3,9,5,4153041
Kadikoy,Fenerbahce,Daire,52,46,1,1,9,16,31,1,1,1,1,Dogalgaz_Kombi,40.9988,29.0285,3,9,5,3965286
Kadikoy,Caferaga,Daire,105,84,3,1,9,16,37,1,1,2,1,Dogalgaz_Kombi,41.0019,29.02,3,9,5,7088821
Kadikoy,Bostanci,IsYeri,99,81,3,1,3,13,25,2,0,0,1,Merkezi,40.9906,29.0255,3,9,5,8327219
Kadikoy,Goztepe,IsYeri,70,55,2,1,0,3,9,1,1,2,1,Dogalgaz_Kombi,40.9956,29.022,3,9,5,6629715
Kadikoy,Fenerbahce,Daire,267,235,6,2,11,12,27,2,1,0,0,Dogalgaz_Kat,41.0069,29.0309,3,9,5,24034464
Kadikoy,Fenerbahce,Daire,130,110,3,1,3,10,28,1,1,2,1,Dogalgaz_Kombi,40.9924,29.0114,3,9,5,10653098
Kadikoy,Goztepe,IsYeri,102,80,4,1,0,12,5,2,1,2,1,Dogalgaz_Kombi,41.0061,29.013,3,9,5,10869142
Kadikoy,Caferaga,Daire,62,54,1,0,5,10,29,1,1,1,1,Merkezi,40.9851,29.0099,3,9,5,4498490
Kadikoy,Moda,Daire,90,71,3,1,2,5,19,1,1,0,1,Dogalgaz_Kat,40.9939,29.0297,3,9,5,8256323
Kadikoy,Caferaga,Daire,95,84,2,1,2,10,20,1,1,1,1,Klima,40.9979,29.0375,3,9,5,7634412
Kadikoy,Caferaga,Daire,71,57,2,1,9,10,31,1,0,0,1,Klima,40.991,29.0338,3,9,5,5614608
Kadikoy,Goztepe,Daire,45,41,1,0,3,11,30,1,1,0,1,Dogalgaz_Kombi,40.9778,29.0197,3,9,5,4366533
