district,neighborhood,property_type,gross_sqm,net_sqm,room_count,living_room_count,floor,total_floors,building_age,bathroom_count,has_balcony,parking_type,has_elevator,heating_type,lat,lon,earthquake_risk_score,transport_score,socioeconomic_level,price
Konak,Basmane,Daire,127,102,4,1,5,11,25,1,0,0,1,Merkezi,38.425,27.1251,3,9,4,5265039
Konak,Alsancak,Daire,69,57,2,1,10,13,30,1,0,0,0,Yerden_Isitma,38.4325,27.1384,3,9,4,2742871
Konak,Guzelyali,Daire,60,54,1,1,3,10,33,1,1,2,0,Yerden_Isitma,38.4255,27.1359,3,9,4,2846448
Konak,Basmane,Mustakil,191,171,4,1,2,3,42,1,1,1,1,Dogalgaz_Kat,38.4227,27.1429,3,9,4,9597376
Konak,Hatay,Daire,45,38,1,1,6,13,43,1,1,0,1,Klima,38.4257,27.1437,3,9,4,1837226
Konak,Pasaport,Daire,99,79,3,1,3,4,45,1,1,0,0,Dogalgaz_Kat,38.4299,27.1431,3,9,4,2831629
Konak,Guzelyali,Daire,47,43,1,0,9,14,40,1,0,1,1,Dogalgaz_Kombi,38.4064,27.1213,3,9,4,2284954
Konak,Hatay,Daire,59,49,1,1,15,15,39,1,0,2,1,Dogalgaz_Kombi,38.4193,27.1246,3,9,4,2214138
Konak,Basmane,Daire,122,99,3,1,5,17,39,2,0,2,1,Dogalgaz_Kombi,38.4316,27.1181,3,9,4,4038544
Konak,Basmane,IsYeri,94,82,3,1,3,15,24,2,1,0,1,Yerden_Isitma,38.4135,27.1298,3,9,4,4421162
Konak,Pasaport,Daire,66,52,2,1,4,7,42,1,1,1,1,Dogalgaz_Kombi,38.4246,27.1344,3,9,4,2191456
Konak,Pasaport,Daire,83,64,2,1,2,10,31,1,0,0,1,Klima,38.4311,27.1346,3,9,4,2892824
Konak,Basmane,Daire,127,103,3,1,5,8,33,2,1,0,1,Merkezi,38.4177,27.1404,3,9,4,5089944
Konak,Guzelyali,Villa,247,208,3,1,2,3,29,1,1,0,0,Klima,38.431,27.1369,3,9,4,13619990
Konak,Pasaport,Daire,109,85,3,1,9,12,38,1,0,2,1,Dogalgaz_Kombi,38.4241,27.1234,3,9,4,4548384
Konak,Basmane,Mustakil,144,123,4,1,1,1,15,1,1,0,0,Dogalgaz_Kat,38.4093,27.1376,3,9,4,8158062
Konak,Alsancak,IsYeri,42,33,1,1,2,10,3,1,1,1,1,Yerden_Isitma,38.4058,27.1303,3,9,4,2478270
Konak,Alsancak,Daire,97,88,3,1,8,14,32,2,0,0,0,Soba,38.4076,27.1376,3,9,4,4703105
Konak,Pasaport,Daire,117,100,3,1,4,5,40,1,1,1,1,Merkezi,38.4104,27.1214,3,9,4,4252011
Konak,Pasaport,Daire,154,127,4,1,13,20,42,1,1,1,1,Merkezi,38.4046,27.1211,3,9,4,5581323
Konak,Alsancak,Daire,116,104,3,1,4,5,35,2,1,1,1,Dogalgaz_Kombi,38.4187,27.1284,3,9,4,5168862
Konak,Pasaport,Daire,80,70,2,1,10,13,44,1,1,0,0,Dogalgaz_Kombi,38.4189,27.1209,3,9,4,3552951
Konak,Hatay,Daire,82,64,2,1,4,6,40,1,1,2,1,Klima,38.4304,27.1283,3,9,4,3440287
Konak,Hatay,Daire,90,73,2,1,12,16,41,1,0,0,1,Soba,38.4147,27.1144,3,9,4,3373745
Konak,Hatay,Daire,121,100,3,1,1,9,30,2,1,1,1,Klima,38.4062,27.1231,3,9,4,5598834
Konak,Guzelyali,Daire,48,41,1,1,9,18,31,1,1,0,1,Merkezi,38.4127,27.1295,3,9,4,2385151
Konak,Alsancak,Daire,205,163,6,2,13,18,39,2,1,2,1,Klima,38.4088,27.1355,3,9,4,8518295
Konak,Pasaport,Daire,70,56,1,1,10,17,25,1,1,2,0,Klima,38.4228,27.1336,3,9,4,3407624
Konak,Basmane,IsYeri,42,33,2,1,0,4,5,1,0,0,0,Dogalgaz_Kombi,38.4316,27.1351,3,9,4,1964962
Konak,Pasaport,Daire,62,50,1,0,1,4,30,1,0,1,1,Yerden_Isitma,38.415,27.1176,3,9,4,2575512
Konak,Basmane,IsYeri,85,66,3,1,1,9,17,2,1,2,1,Klima,38.405,27.1277,3,9,4,4105329
Konak,Hatay,Daire,82,72,2,1,2,10,42,1,1,2,1,Merkezi,38.4164,27.1267,3,9,4,2837127
Konak,Hatay,Daire,59,52,1,1,1,11,42,1,1,0,1,Dogalgaz_Kombi,38.4276,27.1337,3,9,4,1921948
Konak,Alsancak,Daire,131,118,3,1,14,15,45,2,1,0,1,Merkezi,38.409,27.1356,3,9,4,5766238
Konak,Hatay,Daire,125,111,4,1,2,8,41,2,1,1,1,Klima,38.4053,27.1352,3,9,4,4254103
Konak,Guzelyali,Daire,137,113,3,1,4,10,30,2,1,2,1,Soba,38.4108,27.1279,3,9,4,5224588
Konak,Hatay,Daire,52,40,1,1,3,4,43,1,1,2,1,Merkezi,38.4172,27.13,3,9,4,1887565
Konak,Guzelyali,Daire,126,112,3,1,2,17,38,1,1,1,1,Soba,38.4166,27.126,3,9,4,5471274
Konak,Alsancak,Daire,170,151,5,1,4,19,31,2,1,1,1,Dogalgaz_Kat,38.4333,27.1433,3,9,4,7894158
Konak,Hatay,Mustakil,245,210,5,2,1,2,28,2,0,0,0,Soba,38.4153,27.1255,3,9,4,13354559
Konak,Basmane,Daire,87,68,2,1,2,6,34,1,1,2,1,Klima,38.41,27.1205,3,9,4,3267871
Konak,Pasaport,Villa,181,162,3,1,2,2,30,1,1,0,0,Klima,38.4208,27.1294,3,9,4,11449117
Konak,Guzelyali,Daire,84,66,2,1,7,20,35,1,1,0,1,Dogalgaz_Kombi,38.4142,27.1343,3,9,4,2940398
Konak,Basmane,IsYeri,38,30,1,1,3,15,34,1,0,1,1,Soba,38.433,27.1292,3,9,4,1332678
Konak,Hatay,Daire,76,60,2,1,11,12,32,1,1,2,1,Dogalgaz_Kombi,38.4055,27.1198,3,9,4,3410575
Konak,Basmane,Daire,113,100,3,1,10,15,43,1,0,0,1,Dogalgaz_Kombi,38.4062,27.1372,3,9,4,5216338
Konak,Guzelyali,Daire,48,44,1,1,1,14,42,1,1,2,1,Dogalgaz_Kombi,38.4197,27.1247,3,9,4,1814026
Konak,Alsancak,Daire,95,81,3,1,13,13,34,2,1,1,1,Dogalgaz_Kombi,38.4336,27.1139,3,9,4,4389249
Konak,Alsancak,Mustakil,185,162,4,1,1,1,23,1,1,1,0,Dogalgaz_Kombi,38.4234,27.1374,3,9,4,10613722
Konak,Hatay,Daire,63,53,1,1,1,8,31,1,1,1,0,Dogalgaz_Kat,38.4183,27.1331,3,9,4,2211529
Konak,Basmane,Daire,67,57,2,1,2,4,39,1,0,0,0,Dogalgaz_Kombi,38.4267,27.1353,3,9,4,2503674
Konak,Basmane,Daire,135,121,3,1,1,4,44,2,1,0,1,Dogalgaz_Kat,38.4198,27.1192,3,9,4,5119956
Konak,Pasaport,Daire,103,93,3,1,17,19,39,2,1,0,0,Soba,38.4167,27.1155,3,9,4,4101382
Konak,Basmane,Daire,139,122,4,1,2,20,25,2,1,0,0,Klima,38.4059,27.1212,3,9,4,5928750
Konak,Alsancak,Daire,71,64,2,1,1,7,36,1,1,0,1,Dogalgaz_Kat,38.4245,27.1308,3,9,4,3282411
Konak,Guzelyali,Daire,50,39,1,1,10,18,39,1,0,1,1,Dogalgaz_Kombi,38.4161,27.132,3,9,4,1788321
Konak,Pasaport,IsYeri,136,115,4,1,1,12,22,1,0,1,1,Merkezi,38.4216,27.1274,3,9,4,5829963
Konak,Basmane,Daire,157,138,5,1,12,12,35,2,0,2,1,Dogalgaz_Kombi,38.4172,27.1207,3,9,4,8236871
Konak,Guzelyali,IsYeri,92,73,3,1,0,12,13,2,1,1,1,Dogalgaz_Kombi,38.4198,27.1341,3,9,4,4479536
Konak,Pasaport,Daire,86,70,2,1,2,13,25,1,1,2,0,Dogalgaz_Kombi,38.4317,27.1211,3,9,4,3695733
Konak,Basmane,Daire,178,159,5,2,2,13,31,2,1,2,1,Klima,38.4207,27.1288,3,9,4,9268337
Konak,Basmane,Daire,49,40,1,0,5,13,42,1,1,0,1,Dogalgaz_Kombi,38.4174,27.1233,3,9,4,1928445
Konak,Basmane,Daire,140,119,3,1,6,12,41,2,1,2,1,Dogalgaz_Kat,38.4107,27.1394,3,9,4,6161534
Konak,Guzelyali,Daire,139,117,3,1,1,20,31,1,1,1,1,Merkezi,38.4266,27.1225,3,9,4,6237822
Konak,Basmane,Daire,219,179,5,1,1,9,33,3,1,1,1,Dogalgaz_Kombi,38.4217,27.1243,3,9,4,8893014
Konak,Guzelyali,Daire,108,90,3,1,4,8,32,1,1,2,1,Dogalgaz_Kombi,38.4219,27.1325,3,9,4,4203830
Konak,Basmane,Daire,49,41,1,1,6,15,41,1,1,1,1,Dogalgaz_Kat,38.4337,27.1205,3,9,4,1824058
Konak,Hatay,Daire,112,88,3,1,12,14,45,2,0,0,1,Soba,38.4103,27.1155,3,9,4,4376672
Konak,Basmane,IsYeri,64,51,2,1,2,3,35,1,1,1,1,Dogalgaz_Kombi,38.431,27.1389,3,9,4,2809941
Konak,Hatay,Daire,79,66,2,1,6,17,32,1,1,0,1,Merkezi,38.4138,27.1204,3,9,4,3541194
Konak,Basmane,Daire,63,57,1,0,9,11,35,1,1,0,1,Klima,38.4107,27.1355,3,9,4,2769705
Konak,Pasaport,IsYeri,69,56,2,1,3,15,19,1,0,0,1,Dogalgaz_Kat,38.4062,27.1294,3,9,4,3707556
Konak,Alsancak,Mustakil,154,132,3,1,2,2,40,2,1,0,0,Klima,38.4306,27.1174,3,9,4,7619975
Konak,Hatay,Daire,140,125,3,1,20,20,27,2,1,0,1,Dogalgaz_Kombi,38.4243,27.1331,3,9,4,8354023
Konak,Basmane,Daire,110,96,3,1,6,7,32,2,1,2,1,Merkezi,38.4216,27.1186,3,9,4,5656904
Konak,Pasaport,Daire,78,64,2,1,7,9,42,1,1,0,1,Dogalgaz_Kombi,38.4059,27.1407,3,9,4,2993709
Konak,Basmane,Villa,320,269,4,1,2,3,2,1,1,0,1,Soba,38.4272,27.1364,3,9,4,25456545
